Restaurant Name,Owner/Manager Name,Email,Website URL,batch one 
24 Diner,,info@24diner.com,https://www.24diner.com,info@24diner.com
Ararat Mid-East Fusion,,orders@araratfusion.com,https://araratfusion.com,orders@araratfusion.com
Baldinucci Pizza,,hello@baldinucci.pizza,https://www.baldinucci.pizza,hello@baldinucci.pizza
Barley Swine,Bryce Gilmore,info@barleyswine.com,https://www.barleyswine.com,info@barleyswine.com
Bartlett's,,bartletts@bartlettsaustin.com,https://bartlettsaustin.com,bartletts@bartlettsaustin.com
Bento Picnic,,hello@bentopicnic.com,https://www.bentopicnic.com,hello@bentopicnic.com
Bill's Oyster,Stewart Jarmon & Daniel Berg,hello@billsoyster.com,https://www.billsoyster.com,hello@billsoyster.com
Bombay Bistro,,bombaysham@yahoo.com,https://www.bombaybistro.com,bombaysham@yahoo.com
Bouldin Creek Cafe,Woman-owned,info@bouldincreek.com,https://bouldincreekcafe.com,info@bouldincreek.com
Bufalina,,info@bufalinapizza.com,https://www.bufalinapizza.com,info@bufalinapizza.com
Caspian Grill,,ghaffari78731@gmail.com,https://caspiangrillaustin.com,ghaffari78731@gmail.com
Chi'Lantro,Jae Kim,team@chilantrobbq.com,https://www.chilantrobbq.com,team@chilantrobbq.com
Curra's Grill,,currasapple@gmail.com,https://currasgrill.com,currasapple@gmail.com
Dai Due,,party@daidue.com,https://www.daidue.com,party@daidue.com
De Nada Cantina,,hablar@denadacantina.com,https://www.denadacantina.com,hablar@denadacantina.com
Dee Dee,Justin & Lakana Trubiana,info@deedeeatx.com,https://www.deedeeatx.com,info@deedeeatx.com
DK Maria's,,info@dkmarias.com,https://dkmarias.com,info@dkmarias.com
Dong Nai,Steven Pham,pham.steven5196@gmail.com,https://dongnaiaustin.com,pham.steven5196@gmail.com
Down South Cajun Eats,,info@cajjuneats.com,https://cajjuneats.com,info@cajjuneats.com
Eberly,,info@eberlyaustin.com,https://www.eberlyaustin.com,info@eberlyaustin.com
El Mercado,,north@elmercadorestaurant.com,https://elmercadorestaurant.com,north@elmercadorestaurant.com
Eldorado Cafe,,info@eldoradocafeatx.com,https://www.eldoradocafeatx.com,info@eldoradocafeatx.com
Este,,hola@esteatx.com,https://www.esteatx.com,hola@esteatx.com
EurAsia Ramen,,eurasiaramen@gmail.com,https://www.eurasiasushiaustin.com,eurasiaramen@gmail.com
Ezov,,info@ezovatx.com,https://ezovatx.com,info@ezovatx.com
Fabrik,,contact@fabrikatx.com,https://www.fabrikatx.com,contact@fabrikatx.com
Fat Dragon,,fatdragonatx@gmail.com,https://www.fatdragonatx.com,fatdragonatx@gmail.com
Fixe Southern House,Keith,keith@austinfixe.com,https://www.fixesouthernhouse.com,keith@austinfixe.com
Fonda San Miguel,Tom Gilliland & Miguel Ravago,events@fondasanmiguel.com,https://www.fondasanmiguel.com,events@fondasanmiguel.com
FoodHeads,,eat@foodheads.com,https://www.foodheads.com,eat@foodheads.com
Fresa's,Local Austin,hi@fresaschicken.com,https://www.fresaschicken.com,hi@fresaschicken.com
Fukumoto,,eat@fukumotoaustin.com,https://www.fukumotoaustin.com,eat@fukumotoaustin.com
Granny's Tacos,,grannystacos@gmail.com,https://www.grannystacosatx.com,grannystacos@gmail.com
Greater Goods Coffee,,hello@ggroasting.com,https://greatergoodsroasting.com,hello@ggroasting.com
Guero's Taco Bar,,info@gueros.com,https://www.guerostacobar.com,info@gueros.com
Habesha Ethiopian,,yidfantu@gmail.com,https://habeshaaustin.com,yidfantu@gmail.com
Hestia,Kevin Fink & Tavel Bristol-Joseph,info@hestiaaustin.com,https://hestiaaustin.com,info@hestiaaustin.com
Hillside Farmacy,,info@hillsidefarmacy.com,https://www.hillsidefarmacy.com,info@hillsidefarmacy.com
Home Slice Pizza,,donations@homeslicepizza.com,https://homeslicepizza.com,donations@homeslicepizza.com
Hoover's Cooking,Hoover Alexander,howdy@hooverscooking.com,https://www.hooverscooking.com,howdy@hooverscooking.com
InterStellar BBQ,,interstellarbbq@gmail.com,https://www.theinterstellarbbq.com,#N/A
Jeffrey's,,events@jeffreysofaustin.com,https://jeffreysofaustin.com,events@jeffreysofaustin.com
Juan in a Million,Juan Meza,juaninamil@gmail.com,https://juaninamillion.com,juaninamil@gmail.com
Juliet,,events@juliet-austin.com,https://juliet-austin.com,events@juliet-austin.com
June's All Day,,info@junesallday.com,https://junesallday.com,info@junesallday.com
Justine's Brasserie,,info@justines1937.com,https://justines1937.com,info@justines1937.com
Kemuri Tatsu-ya,,kemuri@tatsu-ya.com,https://kemuri-tatsuya.com,kemuri@tatsu-ya.com
Kerbey Lane Cafe,Mason Family,parentbreakfast@kerbeylanecafe.com,https://kerbeylanecafe.com,parentbreakfast@kerbeylanecafe.com
Kerlin BBQ,Bill Kerlin,contact@kerlinbbq.com,https://kerlinbbq.com,contact@kerlinbbq.com
Korea House,,koreahouseatx@gmail.com,https://www.koreahouseaustin.com,koreahouseatx@gmail.com
La Condesa,,info@lacondesa.com,https://lacondesa.com,#N/A
Lamberts,,info@lambertsaustin.com,https://lambertsaustin.com,#N/A
Las Lomas,,laslomas45@gmail.com,https://laslomastexmex.com,#N/A
Launderette,,events@launderetteaustin.com,https://www.launderetteaustin.com,#N/A
Lenoir,Todd Duplechan & Jessica Maher,lenoir.restaurant@gmail.com,https://www.lenoirrestaurant.com,lenoir.restaurant@gmail.com
LeRoy and Lewis,,howdy@leroyandlewis.com,https://leroyandlewisbbq.com,#N/A
Licha's Cantina,,lichas.info@gmail.com,https://www.lichascantina.com,#N/A
Maie Day,,communications-maieday@southcongresshotel.com,https://www.maieday.com,#N/A
Mama Jambalaya,New Orleans family,info@mamajambalaya.com,https://mamajambalaya.com,#N/A
Mandola's Italian,,office@mandolas.com,https://www.mandolas.com,#N/A
Mario's Seafood,Mario Sorto,adriana@marioseafood.com,https://marioseafood.com,#N/A
Maudie's,,catering@maudies.com,https://www.maudies.com,#N/A
Micklethwait,,team@craftmeatsaustin.com,https://craftmeatsaustin.com,#N/A
Mozart's Coffee,,customerservice@mozartscoffee.com,https://mozartscoffee.com,#N/A
Nixta Taqueria,Edgar Rico & Sara Mardanbigi,hola@nixtataqueria.com,https://www.nixtataqueria.com,hola@nixtataqueria.com
Odd Duck,Bryce Gilmore,foh@oddduckaustin.com,https://www.oddduckaustin.com,#N/A
Olamaie,,reservations@olamaieaustin.com,https://www.olamaieaustin.com,#N/A
Otherside Deli,,othersidedeliatx@gmail.com,https://www.othersidedeliatx.com,#N/A
Paperboy,,reservations@paperboyaustin.com,https://www.paperboyaustin.com,#N/A
Parkside,Shawn Cirkiel,info@parkside-austin.com,https://www.parkside-austin.com,#N/A
Pelon's Tex-Mex,,pelons.508@pelonstexmex.com,https://www.pelonstexmex.com,#N/A
Perla's,Larry McGuire & Tom Moorman,events@perlasaustin.com,https://perlasaustin.com,#N/A
Pho Thaison,,phothaisonaustin@gmail.com,https://phothaison.com,#N/A
Quack's Bakery,,bakery@quacksbakery.com,https://www.quacksbakery.com,#N/A
Quality Seafood,,info@qualityseafoodmarket.com,https://qualityseafoodmarket.com,#N/A
Rollin Smoke BBQ,,rollinsmokeatxbbq@gmail.com,https://rollinsmokeatxbbq.com,#N/A
Salty Sow,,saltysowaustin@saltysow.com,https://saltysow.com,#N/A
Sandy's Hamburgers,,sandys.5609.210@gmail.com,https://sandysaustin.com,#N/A
Sazan Ramen,,manager@sazanramen.com,https://sazanramen.com,#N/A
Slab BBQ,,info@slabbbq.com,https://www.slabbbq.com,#N/A
Sour Duck Market,,info@sourduckaustin.com,https://www.sourduckmarket.com,#N/A
Spread & Co,,events@spreadandco.com,https://www.spreadandco.com,#N/A
Summer Moon Coffee,,corporate@summermoon.com,https://www.summermooncoffee.com,#N/A
Tamale House East,Founded 1958,tamalehouseeast@gmail.com,https://www.tamalehouseeast.com,tamalehouseeast@gmail.com
Taste of Ethiopia,,tasteofethiopia@yahoo.com,https://www.tasteofethiopiaaustin.com,#N/A
Teal House,,tealhousebakery@gmail.com,https://www.tealhouse.co,#N/A
The Backspace,,info@thebackspace-austin.com,https://www.backspacepizza.com,#N/A
The Peached Tortilla,Eric Silverstein,mail@thepeachedtortilla.com,https://www.thepeachedtortilla.com,#N/A
Turnstile,,mark@turnstilebrews.com,https://turnstilebrews.com,#N/A
Tyson's Tacos,,tysonstacos@gmail.com,https://www.tysonstacos.com,#N/A
Vaquero Taquero,,info@vaquerotaquero.com,https://www.vaquerotaquero.com,#N/A
Vic & Al's,,info@vicandals.com,https://www.vicandals.com,info@vicandals.com
,,,,
,,,,
,,,,
,,,,
,,,,
23.25,,,,
