Restaurant Name,Owner/Manager Name,Email,Website URL
"Las Lomas","","laslomas45@gmail.com","https://laslomastexmex.com"
"Maudie's","","catering@maudies.com","https://www.maudies.com"
"Pelon's Tex-Mex","","pelons.508@pelonstexmex.com","https://www.pelonstexmex.com"
"DK Maria's","","info@dkmarias.com","https://dkmarias.com"
"Matt's El Rancho","","support@spillover.com","https://mattselrancho.com"
"Eldorado Cafe","","info@eldoradocafeatx.com","https://www.eldoradocafeatx.com"
"Tamale House East","","tamalehouseeast@gmail.com","https://www.tamalehouseeast.com"
"Juan in a Million","","juaninamil@gmail.com","https://juaninamillion.com"
"Tyson's Tacos","","tysonstacos@gmail.com","https://www.tysonstacos.com"
"Granny's Tacos","","grannystacos@gmail.com","https://www.grannystacosatx.com"
"El Mercado","","north@elmercadorestaurant.com","https://elmercadorestaurant.com"
"La Condesa","","info@lacondesa.com","https://lacondesa.com"
"Nixta Taqueria","","hola@nixtataqueria.com","https://www.nixtataqueria.com"
"Curra's Grill","","currasapple@gmail.com","https://currasgrill.com"
"Dee Dee","","info@deedeeatx.com","https://www.deedeeatx.com"
"Pho Thaison","","phothaisonaustin@gmail.com","https://phothaison.com"
"Dong Nai","","pham.steven5196@gmail.com","https://dongnaiaustin.com"
"Fat Dragon","","fatdragonatx@gmail.com","https://www.fatdragonatx.com"
"The Peached Tortilla","","mail@thepeachedtortilla.com","https://www.thepeachedtortilla.com"
"Korea House","","koreahouseatx@gmail.com","https://www.koreahouseaustin.com"
"Sazan Ramen","","manager@sazanramen.com","https://sazanramen.com"
"EurAsia Ramen","","eurasiaramen@gmail.com","https://www.eurasiasushiaustin.com"
"Bufalina","","info@bufalinapizza.com","https://www.bufalinapizza.com"
"Baldinucci Pizza","","hello@baldinucci.pizza","https://www.baldinucci.pizza"
"The Backspace","","info@thebackspace-austin.com","https://www.backspacepizza.com"
"LeRoy and Lewis","","howdy@leroyandlewis.com","https://leroyandlewisbbq.com"
"Lamberts","","info@lambertsaustin.com","https://lambertsaustin.com"
"Rollin Smoke BBQ","","rollinsmokeatxbbq@gmail.com","https://rollinsmokeatxbbq.com"
"InterStellar BBQ","","interstellarbbq@gmail.com","https://www.theinterstellarbbq.com"
"Vic & Al's","","info@vicandals.com","https://www.vicandals.com"
"Hoover's Cooking","","howdy@hooverscooking.com","https://www.hooverscooking.com"
"Mama Jambalaya","","info@mamajambalaya.com","https://mamajambalaya.com"
"Bill's Oyster","","hello@billsoyster.com","https://www.billsoyster.com"
"Quality Seafood","","info@qualityseafoodmarket.com","https://qualityseafoodmarket.com"
"Mario's Seafood","","adriana@marioseafood.com","https://marioseafood.com"
"Perla's","","events@perlasaustin.com","https://perlasaustin.com"
"Habesha Ethiopian","","yidfantu@gmail.com","https://habeshaaustin.com"
"Taste of Ethiopia","","tasteofethiopia@yahoo.com","https://www.tasteofethiopiaaustin.com"
"Caspian Grill","","ghaffari78731@gmail.com","https://caspiangrillaustin.com"
"Ararat Mid-East Fusion","","orders@araratfusion.com","https://araratfusion.com"
"Sandy's Hamburgers","","sandys.5609.210@gmail.com","https://sandysaustin.com"
"Otherside Deli","","othersidedeliatx@gmail.com","https://www.othersidedeliatx.com"
"FoodHeads","","eat@foodheads.com","https://www.foodheads.com"
"Bouldin Creek Cafe","","info@bouldincreek.com","https://bouldincreekcafe.com"
"Kerbey Lane Cafe","","parentbreakfast@kerbeylanecafe.com","https://kerbeylanecafe.com"
"June's All Day","","info@junesallday.com","https://junesallday.com"
"Turnstile","","mark@turnstilebrews.com","https://turnstilebrews.com"
"Bartlett's","","bartletts@bartlettsaustin.com","https://bartlettsaustin.com"
"Lenoir","","lenoir.restaurant@gmail.com","https://www.lenoirrestaurant.com"
"Hillside Farmacy","","info@hillsidefarmacy.com","https://www.hillsidefarmacy.com"
"Odd Duck","","foh@oddduckaustin.com","https://www.oddduckaustin.com"
"Barley Swine","","info@barleyswine.com","https://www.barleyswine.com"
"Fonda San Miguel","","events@fondasanmiguel.com","https://www.fondasanmiguel.com"
"Olamaie","","reservations@olamaieaustin.com","https://www.olamaieaustin.com"
"Hestia","","info@hestiaaustin.com","https://hestiaaustin.com"
"Teal House","","tealhousebakery@gmail.com","https://www.tealhouse.co"
"Bento Picnic","","hello@bentopicnic.com","https://www.bentopicnic.com"
"Home Slice Pizza","","donations@homeslicepizza.com","https://homeslicepizza.com"
"Salty Sow","","saltysowaustin@saltysow.com","https://saltysow.com"
"Launderette","","events@launderetteaustin.com","https://www.launderetteaustin.com"
"Uchi Austin","","press@haihospitality.com","https://uchiaustin.com"
"Uchiko Austin","","press@haihospitality.com","https://uchikoaustin.com"
"Kemuri Tatsu-ya","","kemuri@tatsu-ya.com","https://kemuri-tatsuya.com"
"Dai Due","","party@daidue.com","https://www.daidue.com"
"Justine's Brasserie","","info@justines1937.com","https://justines1937.com"
"Eberly","","info@eberlyaustin.com","https://www.eberlyaustin.com"
"Jeffrey's","","events@jeffreysofaustin.com","https://jeffreysofaustin.com"
"Juliet","","events@juliet-austin.com","https://juliet-austin.com"
"Paperboy","","reservations@paperboyaustin.com","https://www.paperboyaustin.com"
"Spread & Co","","events@spreadandco.com","https://www.spreadandco.com"
"Down South Cajun Eats","","info@cajjuneats.com","https://cajjuneats.com"
"Este","","hola@esteatx.com","https://www.esteatx.com"
"Ezov","","info@ezovatx.com","https://ezovatx.com"
"Fabrik","","contact@fabrikatx.com","https://www.fabrikatx.com"
