Restaurant Name,Owner/Manager Name,Email,Website URL
"Le Baobab Harlem","","info@lebaobabrestaurant.com","https://www.lebaobabharlem.com"
"Africa Kine","","africaresto94@gmail.com","https://www.africakinerestaurant.com"
"Ponty Bistro","","pontybistro@gmail.com","https://pontybistroharlem.com"
"Clay","","hello@claynyc.com","https://claynyc.com"
"The Handpulled Noodle","","contact@thehandpullednoodle.com","http://www.thehandpullednoodle.com"
"Tsion Cafe","","tsioncafe@gmail.com","http://www.tsioncafe.com"
"ROKC","","sofia@wagstaffworldwide.com","http://rokcnyc.com"
"The Edge Harlem","","info@theedgeharlem.com","http://www.theedgeharlem.com"
"Sylvia's Restaurant","","info@sylviasrestaurant.com","http://www.sylviasrestaurant.com"
"Harlem Shake","","feedback@harlemshake.com","http://www.harlemshakenyc.com"
"Vinateria","","info@vinaterianyc.com","https://www.vinaterianyc.com"
"BLVD Bistro","","info@boulevardbistrony.com","http://boulevardbistrony.com"
"Archer & Goat","","archerandgoat@gmail.com","http://www.archerandgoat.com"
"Melba's","","events@melbasrestaurant.com","http://www.melbasrestaurant.com"
"Nili","","nilicafebk@gmail.com","https://www.nilibk.com"
"Dept of Culture Brooklyn","","deptofculturebk@gmail.com","https://www.deptofculturebk.com"
"Fish Cheeks","","info@fishcheeksnyc.com","https://www.fishcheeksnyc.com"
"Win Son","","info@winsonbrooklyn.com","https://winsonbrooklyn.com"
"Dhamaka","","hello@dhamaka.nyc","https://www.dhamaka.nyc"
"I Sodi","","info@isodinyc.com","https://www.isodinyc.com"
"Rubirosa Ristorante","","info@rubirosanyc.shop","https://www.rubirosanyc.com"
"Frankies Spuntino","","spuntino@frankspm.com","https://www.frankiesspuntino.com"
"Forsythia NYC","","info@forsythianyc.com","https://www.forsythianyc.com"
"Pasquale Jones","","info@pasqualejones.com","https://www.pasqualejones.com"
"Red Hook Tavern","","reservations@redhooktavern.com","https://www.redhooktavern.com"
"Mamoun's Falafel","","feedback@mamouns.com","https://www.mamouns.com"
"Superiority Burger","","info@superiorityburger.com","https://www.superiorityburger.com"
"John's of Bleecker Street","","johnspizzeria@gmail.com","https://www.johnsbrickovenpizza.com"
"Buvette","","hello@ilovebuvette.com","https://ilovebuvette.com"
"Lolo's Seafood Shack","","lolosseafoodshack@gmail.com","https://www.lolosseafoodshack.com"
"Oso Harlem","","info@osoharlem.com","https://www.osoharlem.com"
"Manhattanville Coffee","","contact@manhattanvillecoffee.com","https://www.manhattanvillecoffee.com"
"Mess Hall","","info@messhallkitchen.com","https://www.messhallkitchen.com"
"Alleva Dairy","","allevadairy@gmail.com","https://www.allevadairy.com"
"Cho Dang Gol","","cdgny35@gmail.com","https://www.chodanggolnyc.com"
"Uncle Boons Sister","","info@uncleboons.com","https://www.uncleboons.com"
"Cafe Habana","","info@cafehabana.com","https://www.cafehabana.com"
"Thai Diner","","hello@thaidiner.com","https://www.thaidiner.com"
"al di la Trattoria","","info@aldilatrattoria.com","https://www.aldilatrattoria.com"
"Bogota Latin Bistro","","elena@mghospitalitygroup.com","https://www.bogotabistro.com"
"Runner & Stone","","info@runnerandstone.com","https://www.runnerandstone.com"
"Roberta's","","info@robertaspizza.com","https://www.robertaspizza.com"
"Hometown BBQ","","info@hometownbbq.com","https://www.hometownbbq.com"
"Court Street Grocers","","hello@courtstreetgrocers.com","https://www.courtstreetgrocers.com"
"Peter Pan Donut","","bakery@peterpandonuts.com","https://www.peterpandonuts.com"
"Juliana's Pizza","","merchandise@julianaspizza.com","https://www.julianaspizza.com"
"Brooklyn Beso","","besomanager.23@gmail.com","https://www.brooklynbeso.com"
"Pio Pio","","info@piopio.com","https://www.piopio.com"
"Ricardo Steakhouse","","office@ricardosteakhouse.com","https://www.ricardosteakhouse.com"
"Saggio","","info@saggionyc.com","https://www.saggionyc.com"
"Barney Greengrass","","100yearsbg@gmail.com","https://www.barneygreengrass.com"
"Pete's Tavern","","marketing@petestavern.com","https://www.petestavern.com"
"Friend of a Farmer","","about@friendofafarmer.com","https://www.friendofafarmer.com"
"Kashkaval Garden","","info@kashkavalgarden.com","https://www.kashkavalgarden.com"
"Pure Thai Cookhouse","","purethaicookhouse@gmail.com","https://www.purethaicookhouse.com"
"Chez Napoleon","","bonjour@cheznapoleon.com","https://www.cheznapoleon.com"
"Fraunces Tavern","","info@frauncestavern.com","https://www.frauncestavern.com"
"Henry's End","","henrysend@gmail.com","https://www.henrysend.com"
"Totonno's","","antoinette@totonnosconeyisland.com","https://www.totonnosconeyisland.com"
"Randazzo's Clam Bar","","randazzosbrooklyn@gmail.com","https://www.randazzosclambar.com"
"Olea","","info@oleabrooklyn.com","https://www.oleabrooklyn.com"
"Roman's","","hello@romansnyc.com","https://www.romansnyc.com"
"Christos Steakhouse","","info@christossteakhouse.com","https://www.christossteakhouse.com"
"Milkflower","","milkflowernyc@gmail.com","https://www.milkflowernyc.com"
"Manducatis","","manducatisrestaurant@gmail.com","https://www.manducatis.com"
"Emilia's","","emilias2331@aol.com","https://www.emiliasrestaurant.com"
"Ceetay","","ceetay@gmail.com","https://www.ceetay.com"
"La Morada","","mail@lamoradanyc.com","https://www.lamoradanyc.com"
"Killmeyer's Old Bavaria Inn","","ken@killmeyers.com","https://www.killmeyers.com"
"Violette's Cellar","","info@violettescellar.com","https://www.violettescellar.com"
